# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# [M1] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['mean_square_error', 'mean_absolute_error'], n_wait=1, output_file='results.csv', pretrain_size=92, restart_stream=False, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[M0],current_mse_[M0],mean_mse_[M1],current_mse_[M1],mean_mae_[M0],current_mae_[M0],mean_mae_[M1],current_mae_[M1]
92,6.202092,6.202092,155.581796,155.581796,2.490400,2.490400,12.473243,12.473243
93,254.285779,502.369465,110.219285,64.856773,12.452000,22.413600,10.263307,8.053370
94,175.855155,18.993907,157.214086,251.203689,9.754067,4.358200,12.125340,15.849407
95,132.278997,1.550523,146.407153,113.986353,7.626850,1.245200,11.763115,10.676439
96,180.325830,372.513160,310.948920,969.115988,9.961600,19.300600,15.636617,31.130628
97,150.529945,1.550523,279.945410,124.927863,8.508867,1.245200,14.893367,11.177113
98,185.730510,396.933898,484.251597,1710.088716,10.139486,19.923200,18.673346,41.353219
99,170.702896,65.509598,446.721563,184.011324,9.883775,8.093800,18.034812,13.565077
100,153.286431,13.954707,449.622102,472.826417,9.200644,3.735600,18.447008,21.744572
101,216.453016,784.952289,581.833032,1771.731396,11.082280,28.017000,20.811501,42.091940
102,1856.152275,18253.144858,1794.840938,13924.920000,22.357000,135.104200,29.647173,118.003898
103,1810.138742,1303.989877,1746.740383,1217.634282,23.503150,36.110800,30.084460,34.894617
104,1981.121179,4032.910427,3089.094302,19197.341328,26.580231,63.505200,38.428307,138.554471
105,2180.755280,4775.998594,3633.249948,10707.273349,29.617971,69.108600,43.074568,103.475955
106,2105.248500,1048.153575,3440.265298,738.480191,29.801787,32.375200,42.014596,27.174992
107,2132.623307,2543.245416,3648.546726,6772.768151,31.091087,50.430600,44.532236,82.296830
108,2993.672359,16770.457201,3523.597313,1524.406714,36.879894,129.500800,44.209378,39.043651
109,2839.761413,223.275318,3341.528084,246.351175,35.661144,14.942400,42.625278,15.695578
110,2690.483900,3.488677,3207.021473,785.902474,33.882547,1.867800,41.857313,28.033952
111,2673.876982,2358.345544,3121.780540,1502.202812,34.616560,48.562800,41.702361,38.758261
112,2626.955202,1688.519591,3023.544753,1058.829029,34.924895,41.091600,41.266041,32.539653
113,2508.675800,24.808369,2897.144860,242.747092,33.563800,4.980800,40.098510,15.580343
114,2847.383881,10298.961662,3068.241461,6832.366688,36.516843,101.483800,41.948928,82.658131
115,2733.410607,112.025290,2940.864498,11.194344,35.436317,10.584200,40.340464,3.345795
116,2764.008887,3498.367609,3470.017235,16169.682935,36.384744,59.147000,43.813248,127.160068
117,2666.288365,223.275318,3411.417619,1946.427206,35.560038,14.942400,43.824982,44.118332
118,2592.862154,683.780661,3291.864970,183.496109,35.211489,26.149200,42.703541,13.546074
119,2506.960408,187.613288,3174.588892,8.134787,34.443121,13.697200,41.280277,2.852155
120,2690.037175,7816.186645,3075.343218,296.464338,36.304021,88.409200,40.450548,17.218140
121,2676.978029,2298.262776,3003.731402,926.988755,36.691893,47.940200,40.117080,30.446490
122,2595.625586,155.052304,2908.136684,40.295119,35.909961,12.452000,39.027750,6.347844
123,2535.880432,683.780661,2817.546023,9.235546,35.604937,26.149200,37.903101,3.039004
124,2487.238645,930.701455,2760.487253,934.606615,35.450467,30.507400,37.680927,30.571336
125,2478.214656,2180.423025,2716.469956,1263.899150,35.781188,46.695000,37.618292,35.551359
126,2412.768903,187.613288,2638.862489,0.208610,35.150217,13.697200,36.556534,0.456739
127,2347.050414,46.903322,2567.232922,60.198068,34.364061,6.848600,35.756595,7.758741
128,2293.045476,348.867684,2517.439488,724.875856,33.940114,18.678000,35.517863,26.923519
129,2297.987354,2480.836864,2501.354257,1906.200720,34.357689,49.808000,35.732131,43.660059
130,2257.442275,716.729275,2438.011490,30.986338,34.163179,26.771800,34.958655,5.566537
131,2208.070789,282.582824,2379.030639,78.777474,33.729355,16.810200,34.306580,8.875668
132,2160.606584,262.038394,2340.409347,795.557657,33.301507,16.187600,34.157776,28.205632
133,2154.387159,1899.390724,2395.124272,4638.436209,33.546281,43.582000,34.966069,68.106066
134,2105.808611,65.509598,2344.839237,232.867760,32.954363,8.093800,34.507788,15.260005
135,2057.958134,0.387631,2322.153095,1346.648969,32.219550,0.622600,34.557537,36.696716
136,2037.344204,1130.331296,2276.566136,270.739943,32.250680,33.620400,34.155240,16.454177
137,2000.638193,348.867684,2231.625184,209.282362,31.955622,18.678000,33.727226,14.466595
138,1981.238547,1088.854805,2195.187024,519.031666,31.977796,32.997800,33.494354,22.782266
139,2015.946448,3647.217821,2164.372924,716.110218,32.569763,60.392200,33.354060,26.760236
140,1975.192315,18.993907,2121.993773,87.794539,31.994016,4.358200,32.864587,9.369874
141,1970.489958,1740.074482,2097.551304,899.870321,32.188420,41.714200,32.807252,29.997839
142,2169.972196,12144.084080,2394.190898,17226.170560,33.718063,110.200200,34.737473,131.248507
143,2417.541234,15043.562165,2650.124434,15702.734785,35.428335,122.652200,36.479263,125.310553
144,2703.746492,17586.419950,2623.422922,1234.944297,37.262023,132.613800,36.454027,35.141774
145,2674.609174,1130.331296,2645.449780,3812.873247,37.194585,33.620400,36.922443,61.748468
146,2750.649016,6856.800514,2729.102339,7246.340563,38.023880,82.805800,37.798861,85.125440
147,2992.426403,16290.182689,2980.397735,16801.644477,39.624043,127.633000,39.438545,129.621158
148,2944.885288,282.582824,2987.062886,3360.311339,39.223800,16.810200,39.763626,57.968192
149,3060.953029,9676.814293,2947.162191,672.822625,40.243576,98.370800,39.525268,25.938825
150,3009.394400,18.993907,2903.619348,378.134450,39.635349,4.358200,39.184936,19.445679
151,3207.424882,14891.223276,3151.625346,17783.979188,41.008587,122.029600,40.754463,133.356587
152,3194.503221,2419.203573,3185.272259,5204.087078,41.142633,49.185400,41.268970,72.139359
153,3231.515091,5489.239192,3514.808644,23616.528083,41.674032,74.089400,43.081998,153.676700
154,3185.758783,348.867684,3490.228410,1966.253906,41.309016,18.678000,43.102005,44.342462
155,3154.975209,1215.610063,3445.150518,605.243319,41.208337,34.865600,42.812938,24.601693
156,3122.562569,1048.153575,3424.967580,2133.259541,41.072443,32.375200,42.864850,46.187223
157,3165.557236,5960.210566,3378.101787,331.825254,41.619867,77.202400,42.491383,18.216071
158,3118.402681,6.202092,3327.730157,3.202590,41.035845,2.490400,41.883894,1.789578
159,3117.697101,3070.423250,3305.469179,1813.983687,41.247250,55.411400,41.894291,42.590887
160,3153.409940,5581.882944,3263.062395,379.401081,41.732246,74.712000,41.569420,19.478221
161,3108.383377,1.550523,3216.512737,4.586307,41.153860,1.245200,41.006165,2.141566
162,3065.149288,38.763076,3171.487923,19.750963,40.661918,6.226000,40.491208,4.444206
163,3037.700753,1088.854805,3127.837535,28.659970,40.555472,32.997800,40.003184,5.353501
164,2996.221164,9.690769,3090.457002,399.058650,40.042562,3.113000,39.728845,19.976452
165,2959.550376,282.582824,3052.858847,308.193526,39.728611,16.810200,39.429205,17.555442
166,2974.921368,4112.374733,3044.579894,2431.937322,40.053933,64.127800,39.561011,49.314677
167,2938.246261,187.613288,3011.902649,561.109302,39.707134,13.697200,39.352152,23.687746
168,3099.445215,15350.565727,3188.168713,16584.389556,40.800514,123.897400,40.513558,128.780393
169,3061.900343,170.945165,3150.455432,246.532830,40.445054,13.074600,40.195453,15.701364
170,3344.708813,25403.769487,3123.319944,1006.751881,41.950630,159.385600,40.088287,31.729354
171,3317.029094,1130.331296,3087.350809,245.789115,41.846502,33.620400,39.783154,15.677663
172,3362.007722,6960.297927,3263.014897,17316.141979,42.359859,83.428400,40.916582,131.590813
173,3349.767939,2358.345544,3230.455298,593.127728,42.435505,48.562800,40.714602,24.354214
174,3390.783727,6754.078362,3204.231206,1053.855727,42.914393,82.183200,40.615187,32.463144
175,3382.207591,2670.388306,3175.900287,824.433932,43.018695,51.675800,40.473494,28.712958
176,3346.799421,372.513160,3138.649199,9.557812,42.739659,19.300600,40.033706,3.091571
177,3309.510297,139.934704,3102.917572,65.729320,42.380237,11.829400,39.662470,8.107362
178,3274.036332,223.275318,3068.484464,107.237174,42.064860,14.942400,39.325609,10.355538
179,3249.204723,1088.854805,3053.106301,1715.206136,41.961825,32.997800,39.349352,41.415047
180,3219.321371,589.586386,3019.891815,97.017058,41.763169,24.281400,39.017896,9.849724
181,3183.551134,0.000000,2986.473236,12.219635,41.299133,-0.000000,38.623204,3.495659
182,3216.193714,6154.025946,2969.474605,1439.597863,41.707358,78.447600,38.615719,37.942033
183,3181.273007,3.488677,2940.648366,317.460603,41.274320,1.867800,38.389650,17.817424
184,3171.140558,2238.955270,2912.865897,356.878754,41.339301,47.317600,38.179990,18.891235
185,3149.429822,1130.331296,2884.707160,265.944582,41.257185,33.620400,37.947307,16.307807
186,3117.599954,125.592366,2855.968740,154.557283,40.940865,11.206800,37.678726,12.432107
187,3090.955567,559.738817,2831.932667,548.505721,40.760844,23.658800,37.530200,23.420199
188,3070.742945,1130.331296,2803.377382,62.070006,40.687231,33.620400,37.224512,7.878452
189,3046.722398,716.729275,2781.110292,621.202610,40.545237,26.771800,37.098996,24.923936
190,3022.212164,620.209216,2753.504705,48.157140,40.387244,24.904000,36.794355,6.939535
191,3117.582408,12559.236624,2903.389668,17742.000984,41.104052,112.068000,37.758402,133.199103
192,3152.577944,6652.131472,2896.571626,2214.767452,41.504612,81.560600,37.850510,47.061316
